Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,268",b ,"1,435",b ,"1,729",b ,"1,485",b 
Ajax/Pickering,**,,965,a ,"1,302",b ,"1,563",a ,"1,394",a 
Alderwood,**,,**,,"1,536",c ,**,,"1,505",d 
Aurora,**,,"1,326",a ,"1,668",a ,**,,"1,586",b 
Banbury-Don Mills/York Mills,874,c ,"1,404",a ,"1,655",a ,"1,969",a ,"1,578",a 
Bathurst Manor,**,,"1,341",a ,"1,520",a ,"1,607",a ,"1,475",a 
Bay Street Corridor,"1,650",a ,"2,182",a ,"3,327",a ,"5,212",a ,"2,500",a 
Bayview Village,**,,"1,530",a ,"1,856",a ,**,,"1,855",a 
Bayview Woods-Steeles/Hillcrest Village,**,,"1,900",b ,"2,360",c ,"2,775",d ,"2,388",c 
Bedford Park-Nortown,983,b ,"1,246",b ,"1,643",b ,"2,081",c ,"1,413",b 
Beechborough-Greenbrook,**,,"1,066",b ,"1,128",a ,**,,"1,098",a 
Bendale,**,,"1,141",a ,"1,241",a ,"1,317",b ,"1,249",a 
Birchcliffe-Cliffside,**,,"1,466",b ,"1,676",b ,**,,"1,567",b 
Black Creek,"1,018",c ,"1,178",a ,"1,422",a ,"1,562",a ,"1,384",a 
Bradford/West Gwillimbury/New Tecumseth,"1,083",b ,"1,027",a ,"1,274",a ,**,,"1,190",a 
Brampton (East),"1,237",a ,"1,501",a ,"1,654",a ,"1,741",a ,"1,616",a 
Brampton (West),872,a ,"1,309",a ,"1,494",a ,"1,721",c ,"1,431",a 
Briar Hill-Belgravia,"1,021",c ,"1,317",a ,"1,506",b ,"1,968",a ,"1,447",b 
Broadview North,"1,071",b ,"1,338",a ,"1,584",a ,"2,359",a ,"1,385",a 
Bronte,**,,"1,569",a ,"1,807",a ,"2,009",c ,"1,720",a 
Brookhaven-Amesbury,"1,071",b ,"1,248",a ,"1,484",b ,"1,981",c ,"1,426",b 
Cabbagetown-South St. James Town,"1,184",a ,"1,458",a ,"1,832",d ,**,,"1,474",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,**,,"1,203",c ,"1,389",d ,**,,"1,279",c 
Casa Loma,"1,254",b ,"1,773",c ,"2,352",d ,**,,"2,102",d 
Churchill Meadows/Erin Mills,"1,258",b ,"1,514",b ,"1,594",b ,"1,944",a ,"1,681",a 
Church-Yonge Corridor,"1,375",b ,"1,648",a ,"2,118",b ,**,,"1,670",a 
Clairlea-Birchmount,**,,"1,270",d ,"1,466",d ,**,,"1,339",d 
Clanton Park,**,,"1,488",c ,"1,683",c ,**,,"1,564",c 
Clarkson/Lorne Park,"1,020",b ,"1,378",a ,"1,514",a ,"1,489",a ,"1,449",a 
Cliffcrest,**,,"1,183",b ,"1,358",a ,"1,665",b ,"1,311",a 
Cooksville,"1,160",a ,"1,488",a ,"1,677",a ,"1,832",a ,"1,594",a 
Crescent Town,"1,013",a ,"1,216",a ,"1,458",a ,"1,759",b ,"1,320",a 
Danforth Village-East York,"1,121",c ,"1,277",b ,"1,462",b ,**,,"1,329",b 
Don Valley Village/Pleasant View,**,,"1,375",a ,"1,539",b ,"1,759",b ,"1,534",b 
Dorset Park,"1,089",b ,"1,524",a ,"1,801",a ,"2,192",b ,"1,733",a 
Dovercourt/Davenport/Junction,"1,243",b ,"1,417",b ,"1,629",a ,**,,"1,514",a 
Downsview,996,a ,"1,246",a ,"1,417",a ,"1,627",a ,"1,375",a 
Dufferin Grove/Little Portugal,"1,343",b ,"1,407",b ,"1,795",b ,**,,"1,474",b 
East End-Danforth,"1,072",b ,"1,366",c ,"1,534",b ,**,,"1,368",b 
East Gwillimbury/Newmarket,754,c ,"1,273",d ,"1,370",b ,**,,"1,276",b 
Edenbridge-Humber Valley,973,b ,"1,610",a ,"1,908",a ,"2,437",a ,"1,873",a 
Eglinton East,"1,008",c ,"1,259",a ,"1,390",a ,"1,816",a ,"1,430",a 
Elms-Old Rexdale,**,,**,,**,,"2,031",c ,"1,835",c 
Englemount-Lawrence,"1,113",c ,"1,301",a ,"1,488",b ,"1,861",b ,"1,460",a 
Eringate-Centennial-West Deane,**,,"1,459",a ,"1,568",b ,**,,"1,538",b 
Etobicoke West Mall,**,,"1,432",a ,"1,672",a ,"1,904",a ,"1,663",a 
Flemingdon Park,**,,"1,291",a ,"1,429",a ,"1,702",b ,"1,422",a 
Forest Hill North,"1,264",a ,"1,461",a ,"1,811",a ,"2,255",b ,"1,661",a 
Forest Hill South,"1,122",c ,"1,413",b ,"1,965",b ,**,,"1,647",c 
Georgina,**,,**,,**,,**,,**,
Guildwood,**,,**,,**,,**,,**,
Henry Farm,**,,"1,529",b ,"2,005",b ,"2,402",d ,"1,854",c 
High Park North/Junction,"1,268",a ,"1,623",b ,"2,172",b ,"2,899",b ,"1,786",b 
High Park-Swansea,**,,"1,457",c ,**,,**,,"1,513",d 
Humber Heights-Westmount,**,,**,,**,,**,,**,
Humewood-Cedarvale,"1,195",b ,"1,535",b ,"2,414",c ,**,,"1,835",b 
Ionview,"1,209",b ,"1,373",a ,"1,560",a ,"1,717",a ,"1,471",a 
Islington/City Centre North,"1,381",a ,"1,529",b ,"1,686",b ,"1,886",b ,"1,641",a 
Islington/City Centre South,"1,120",d ,**,,"1,631",a ,**,,"1,604",a 
Keelesdale-Eglinton West,**,,**,,"1,217",d ,**,,"1,206",d 
Kennedy Park,899,b ,"1,151",a ,"1,229",b ,**,,"1,185",a 
Kensington-Chinatown,**,,**,,**,,**,,**,
Kingsview Village-The Westway,**,,"1,367",a ,"1,521",a ,"1,734",a ,"1,515",a 
Kingsway South,**,,**,,**,,**,,**,
Lambton Baby Point,951,b ,"1,219",c ,**,,**,,"1,232",c 
L'Amoreaux/Steeles/Milliken,**,,"1,293",a ,"1,454",a ,"1,629",a ,"1,397",a 
Lansing-Westgate,**,,"1,540",a ,"1,734",a ,"1,915",a ,"1,664",a 
Lawrence Park North,"1,246",a ,"1,376",b ,"1,759",a ,**,,"1,477",a 
Lawrence Park South,"1,251",a ,"1,574",a ,"2,105",c ,**,,"1,650",b 
Leaside-Bennington,"1,203",b ,"1,394",a ,"1,824",b ,**,,"1,485",a 
Little Italy/Trinity-Bellwoods,788,d ,**,,**,,**,,**,
Long Branch,**,,"1,173",b ,"1,177",d ,**,,"1,173",c 
Malton,**,,"1,280",a ,"1,516",a ,"1,535",a ,"1,471",a 
Maple Leaf,**,,"1,396",a ,"1,592",b ,"2,275",a ,"1,547",a 
Markham,**,,"1,421",a ,"1,547",a ,"1,727",a ,"1,503",a 
Meadowvale,**,,"1,554",a ,"1,734",a ,"1,831",a ,"1,685",a 
Milton/Halton Hills,844,c ,"1,211",b ,"1,385",a ,"1,638",c ,"1,327",a 
Mimico,"1,123",a ,"1,311",a ,"1,425",b ,"1,963",b ,"1,332",a 
Mississauga Centre/Streetsville,"1,077",b ,"1,424",a ,"1,621",a ,"1,904",a ,"1,604",a 
Moore Park,"1,240",b ,"1,798",b ,"2,679",b ,**,,"1,988",c 
Morningside,"1,328",a ,"1,269",a ,"1,380",a ,"1,570",a ,"1,363",a 
Moss Park/Regent Park,"1,140",b ,"1,470",b ,"1,999",a ,"1,912",c ,"1,422",b 
Mount Dennis,"1,036",c ,"1,296",b ,"1,344",c ,**,,"1,330",c 
Mount Olive-Silverstone-Jamestown/Thistletown,980,b ,"1,528",b ,"1,553",a ,"1,645",a ,"1,576",a 
Mount Pleasant East,"1,231",b ,"1,551",a ,"1,945",b ,**,,"1,619",b 
Mount Pleasant West,"1,348",a ,"1,646",a ,"2,120",b ,"2,546",b ,"1,712",a 
New Toronto,973,c ,"1,251",b ,"1,462",b ,**,,"1,306",b 
North St. James Town,"1,198",a ,"1,489",d ,**,,**,,**,
Oakridge,"1,199",a ,"1,386",a ,"1,725",a ,**,,"1,521",a 
Oakville (excl. Bronte),"1,229",a ,"1,471",a ,"1,799",a ,"1,958",a ,"1,712",a 
Oakwood-Vaughan,978,c ,"1,258",b ,"1,603",d ,**,,"1,313",c 
O'Connor-Parkview,"1,064",c ,"1,185",b ,"1,408",a ,"1,636",b ,"1,327",a 
Old East York,"1,178",c ,"1,134",c ,**,,**,,"1,156",c 
Orangeville/Mono,**,,"1,182",a ,"1,400",a ,"1,529",b ,"1,301",a 
Parkwoods-Donalda,"1,282",a ,"1,456",a ,"1,680",a ,"1,959",a ,"1,668",a 
Playter Estates-Danforth,**,,"1,315",d ,**,,**,,"1,324",d 
Port Credit,"1,124",b ,"1,331",a ,"1,509",a ,"1,783",d ,"1,425",a 
Princess-Rosethorn,**,,**,,**,,**,,**,
Rexdale-Kipling,"1,009",b ,"1,122",a ,"1,315",b ,"1,347",a ,"1,264",a 
Richmond Hill/Vaughan/King,"1,180",c ,"1,341",a ,"1,538",a ,"1,960",c ,"1,473",b 
Riverdale,"1,208",b ,"1,415",a ,"1,779",b ,**,,"1,473",a 
Rockcliffe-Smythe,997,b ,"1,147",b ,"1,358",b ,**,,"1,238",b 
Roncesvalles,**,,"1,320",b ,"1,696",c ,**,,"1,417",d 
Rosedale,**,,"1,934",a ,"2,712",d ,**,,**,
Rouge,**,,**,,"1,358",a ,"1,565",b ,"1,374",a 
Rustic/Pelmo Park/Humberlea,**,,**,,**,,**,,**,
Scarborough Village,**,,"1,292",b ,"1,433",b ,"1,654",b ,"1,427",b 
South Parkdale/King West,"1,053",b ,"1,300",a ,"1,561",a ,**,,"1,309",a 
St. Andrew-Windfields,"1,068",b ,"1,384",a ,"1,644",a ,"1,887",a ,"1,606",a 
Stonegate-Queensway,"1,128",b ,"1,311",a ,"1,517",b ,**,,"1,420",a 
Tam O'Shanter-Sullivan,"1,133",a ,"1,329",a ,"1,472",a ,"1,699",a ,"1,444",a 
The Beaches,"1,114",c ,"1,355",b ,"1,769",c ,**,,"1,449",b 
Thorncliffe Park,"1,114",b ,"1,288",a ,"1,598",a ,"1,963",a ,"1,493",a 
University/Annex,"1,327",b ,"1,633",a ,"2,174",c ,**,,"1,703",b 
Uxbridge,**,,"1,249",c ,"1,501",d ,**,,"1,394",d 
Victoria Village,"1,035",a ,"1,303",a ,"1,539",a ,"2,019",b ,"1,436",a 
Waterfront Communities -The Island,**,,"1,951",a ,"2,393",a ,**,,"2,087",a 
West Hill,**,,"1,348",a ,"1,419",b ,"1,581",b ,"1,416",a 
West Humber-Clairville,930,a ,"1,307",a ,"1,434",a ,**,,"1,618",b 
Westminster-Branson,"1,158",b ,"1,454",a ,"1,654",a ,"1,838",a ,"1,633",a 
Weston,"1,066",b ,"1,319",a ,"1,467",a ,"1,854",a ,"1,391",a 
Wexford-Maryvale,"1,136",a ,"1,223",a ,"1,410",b ,"1,546",b ,"1,325",a 
Whitchurch/Stouffville,**,,**,,**,,**,,**,
Willowdale East/Newtonbrook East,**,,"1,592",a ,"2,006",a ,"2,405",a ,"1,821",a 
Willowdale West/Newtonbrook West,"1,185",c ,"1,429",a ,"1,679",a ,"1,900",a ,"1,587",a 
Willowridge-Martingrove-Richview,**,,"1,564",b ,"1,960",c ,"2,142",c ,"1,953",c 
Woburn,"1,059",a ,"1,306",a ,"1,468",a ,"1,593",b ,"1,435",a 
Woodbine Corridor/Greenwood-Coxwell,"1,006",b ,"1,455",c ,"1,483",d ,**,,"1,383",b 
Woodbine-Lumsden,**,,"1,228",c ,**,,**,,"1,316",c 
Wychwood,"1,017",a ,"1,135",d ,**,,**,,**,
Yonge-Eglinton,"1,213",a ,"1,461",a ,"1,814",b ,**,,"1,519",a 
Yonge-St. Clair,"1,398",a ,"1,641",a ,"2,155",b ,**,,"1,803",b 
Yorkdale-Glen Park,**,,"1,231",b ,"1,494",b ,"1,575",c ,"1,371",a 
Toronto,"1,217",a ,"1,439",a ,"1,680",a ,"1,918",a ,"1,570",a 
